              wc         summary        Analytic           Clout       Authentic     lng-metrics             WPS          Sixltr           15ltr             Dic    lng-function        personal     FirstPerson               I              We             You     ThirdPerson   ThirdSingular     ThirdPlural      impersonal        articles    prepositions verbs-auxiliary         adverbs    conjunctions        negation         Grammar      adjectives    comparatives  interrogatives         numbers           quant          Affect        positive        negative         anxiety           anger             sad          Affect          family          female            male      friendship       cognitive         insight           cause   discrepancies   tentativeness       certainty          differ       perpetual            feel            hear             see             bio            body          health       ingesting             sex            time       focuspast    focuspresent     focusfuture      relativity          motion           space            time        personal           death            home        pleasure           money        religion            work        informal          assent         fillers        netspeak    nonfluencies           swear            core     affiliation     achievement           power          reward            risk     punctuation         periods          commas          colons      semicolons        question    exclamations          dashes          quotes      apostrohpe     parenthesis       emoticons
            23.0             0.0             0.0             0.0             0.0            26.6             4.6             9.0             1.0            12.0             1.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             1.0             3.0             1.0             0.0             0.0             2.0             0.0             4.0             0.0             0.0             0.0             4.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             1.0             0.0             1.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             4.0             0.0             1.0             3.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0            10.0             2.0             3.0             2.0             2.0             0.0             0.0             1.0             0.0             0.0             0.0             0.0
            12.0             0.0             0.0             0.0             0.0            16.0             4.0             6.0             2.0             4.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             2.0             2.0             0.0             0.0             0.0             0.0             4.0             1.0             0.0             0.0             3.0             0.0             1.0             0.0             1.0             0.0             1.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             6.0             1.0             1.0             1.0             1.0             0.0             0.0             0.0             0.0             0.0             2.0             0.0
            16.0             0.0             0.0             0.0             0.0            21.2             3.2             8.0             2.0             8.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             4.0             4.0             0.0             0.0             0.0             0.0             8.0             2.0             0.0             0.0             6.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             2.0             0.0             2.0             0.0             1.0             0.0             0.0             0.0             0.0             0.0             1.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             7.0             2.0             1.0             2.0             2.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0
            22.0             0.0             0.0             0.0             0.0            17.4             4.4             9.0             1.0             3.0             1.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             1.0             2.0             0.0             0.0             1.0             0.0             1.0             4.0             0.0             0.0             0.0             4.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0            11.0             4.0             0.0             1.0             1.0             1.0             0.0             4.0             0.0             0.0             0.0             0.0
            17.0             0.0             0.0             0.0             0.0           21.25            4.25             8.0             1.0             8.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             4.0             4.0             0.0             0.0             0.0             0.0             3.0             1.0             0.0             0.0             2.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             2.0             0.0             1.0             1.0             3.0             0.0             1.0             2.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             4.0             1.0             0.0             1.0             1.0             0.0             1.0             0.0             0.0             0.0             0.0             0.0
            20.0             0.0             0.0             0.0             0.0            24.0             5.0             7.0             1.0            11.0             1.0             1.0             0.0             0.0             0.0             0.0             1.0             1.0             0.0             0.0             6.0             5.0             0.0             1.0             0.0             0.0             4.0             0.0             0.0             0.0             4.0             0.0             1.0             1.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             1.0             0.0             0.0             1.0             1.0             1.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             8.0             2.0             0.0             1.0             1.0             0.0             0.0             0.0             2.0             0.0             2.0             0.0
             6.0             0.0             0.0             0.0             0.0             4.2             1.2             2.0             1.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             5.0             0.0             0.0             0.0             5.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             7.0             2.0             0.0             2.0             2.0             0.0             0.0             1.0             0.0             0.0             0.0             0.0
            22.0             0.0             0.0             0.0             0.0            30.5             5.5             8.0             1.0            16.0             2.0             1.0             0.0             0.0             0.0             0.0             1.0             1.0             0.0             1.0             5.0             4.0             0.0             0.0             0.0             1.0             7.0             3.0             0.0             0.0             4.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             1.0             1.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             3.0             0.0             3.0             0.0             1.0             0.0             0.0             0.0             1.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             4.0             2.0             0.0             1.0             1.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0
            26.0             0.0             0.0             0.0             0.0            35.0            13.0             8.0             0.0            14.0             2.0             2.0             0.0             0.0             0.0             0.0             2.0             1.0             1.0             0.0             7.0             3.0             1.0             1.0             2.0             0.0             7.0             1.0             0.0             0.0             6.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             1.0             0.0             0.0             1.0             0.0             0.0             0.0             0.0             0.0             1.0             0.0             1.0             0.0             2.0             0.0             0.0             1.0             0.0             0.0             1.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             4.0             2.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             2.0             0.0
            16.0             0.0             0.0             0.0             0.0            22.0             4.0             7.0             2.0             9.0             3.0             3.0             0.0             0.0             0.0             0.0             3.0             2.0             1.0             0.0             2.0             0.0             0.0             1.0             0.0             1.0             4.0             0.0             0.0             0.0             4.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             2.0             2.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             1.0             0.0             1.0             0.0             1.0             0.0             1.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             5.0             2.0             1.0             1.0             1.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0
